,banqiao_new,taoyuan_new,zhongming_new,wanhua_new,tainan_new,qianjin_new
covariance,115.9053469768481,148.4928651627795,219.05937530291956,103.4604574024392,182.24420883299746,138.70010723008002
correlation,0.829296917425384,0.8373402444690133,0.8912641613386602,0.8148346878660447,0.7825495131440982,0.751937984652651
error_rate,79.50418182371193,90.68524153441368,74.41915756996195,85.98393956315971,80.1201868667612,70.33027620370268
MSE,165.80915503118482,233.44833140356204,293.71962760086063,175.61012659198312,462.3666403966387,347.9148709940779
RMSE,12.87669037568213,15.27901604827883,17.138250424149504,13.251797108014562,21.502712396268493,18.652476269763163
MAE,10.348560179390907,12.491538082765846,14.247896200671702,10.668960970464134,17.749142647058825,15.611705795262269
R2,0.6877333772512455,0.7011386850074226,0.7943518052867082,0.6639555685497417,0.6123837405220895,0.5654107327634504
